中心匯率	zhong xin hui lve
中籤率	zhong qian lve
乖離率	guai li lve
人口自然增加率	ren kou zi ran zeng jia lve
低利率	di li lv
低頻率	di pin lve
佔有率	zhan you lv
佔用率	zhan yong lv
使用率	shi yong lve
倍率	bei lv
傳輸速率	chuan shu su lv
兌換率	dui huan lve
兜率天	dou shuai tian
兜率天宮	dou shuai tian gong
兜率宮	dou shuai gong
公用事業費率	gong yong shi ye fei lve
公用費率	gong yong fei lve
再犯率	zai fan lv
出生率	chu sheng lv
分辨率	fen bian lv
分辨率爲	fen bian lve wei
利潤率	li run lve
利率	li lv
利率政策	li lv zheng ce
利用效率	li yong xiao lv
利用率	li yong lv
功率	gong lv
功率因數	gong lv yin shu
功率比	gong lv bi
功率表	gong lv biao
勗率	xu shuai
勝率	sheng lve
匯率	hui lve
升學率	sheng xue lve
協定稅率	xie ding shui lve
合格率	he ge lve
名目利率	ming mu li lv
周率	zhou lve
命中率	ming zhong lv
單一稅率	dan yi shui lv
回報率	hui bao lve
固定利率	gu ding li lv
固定匯率	gu ding hui lve
圓周率	yuan zhou lve
坦率	tan shuai
基本放款利率	ji ben fang kuan li lv
基準利率	ji zhun li lv
增長率	zeng chang lve
外匯匯率	wai hui hui lve
大功率	da gong lve
失業率	shi ye lv
嬰兒死亡率	ying er si wang lv
存款利率	cun kuan li lv
存款準備率	cun kuan zhun bei lve
存活率	cun huo lve
守備率	shou bei lve
安全率	an quan lve
定率	ding lve
容積率	rong ji lve
實質利率	shi zhi li lv
就業率	jiu ye lve
工作效率	gong zuo xiao lv
工率	gong lve
市場占有率	shi chang zhan you lve
市盈率	shi ying lve
年利率	nian li lv
年增率	nian zeng lve
建蔽率	jian bi lve
彀率	gou lve
彀率	kou lve
得票率	de piao lve
心率	xin lv
悉率	xi shuai
應收帳款週轉率	ying shou zhang kuan zhou zhuan lv
成功率	cheng gong lv
成活率	cheng huo lv
成長率	cheng zhang lve
或然率	huo ran lve
打擊率	da ji lve
扣繳率	kou jiǎo lve
投手防禦率	tou shou fang yu lve
投資報酬率	tou zi bao chou lve
折價率	zhe jia lve
拆款利率	chai kuan li lv
掛牌匯率	gua pai hui lve
提高效率	ti gao xiao lv
換手率	huan shou lve
支持率	zhi chi lve
收益率	shou yi lve
收視率	shou shi lve
放大率	fang da shuai
效率	xiao lv
效率高	xiao lv gao
整躬率物	zheng gong shuai wu
普及率	pu ji lv
普天率土	pu tian shuai tu
曲率	qu lv
最大功率	zui da gong lve
月利率	yue li lv
概率	gai lv
機械效率	ji xie xiao lv
機率	ji lve
機率預報	ji lve yu bao
正身率下	zheng shen shuai xia
死亡率	si wang lv
比率	bi lv
毛利率	mao li lv
法定準備率	fa ding zhun bei lve
流動比率	liu dong bi lv
浮動匯率	fu dong hui lve
渠率	ju shuai
準備金率	zhun bei jin lve
準確率	zhun que lve
熱導率	re dao lve
牌告利率	pai gao li lv
特高頻率	te gao pin lve
犯罪率	fan zui lve
獲利率	huo li lv
率以爲常	shuai yi wei chang
率低	lve di
率先	shuai xian
率同	shuai tong
率土之濱	lve tu zhi bin
率土同慶	shuai tu tong qing
率土宅心	shuai tu zhai xin
率土歸心	lve tu gui xin
率師	shuai shi
率性	shuai xing
率更	shuai geng
率然	shuai ran
率爲	shuai wei
率爾	lve er
率爾成章	shuai er cheng zhang
率爾成章	shuai ni cheng zhang
率爾操觚	lve er cao gu
率獸食人	lve shou shi ren
率獸食人	shuai shou shi ren
率率	lve shuai
率率	shuai shuai
率由舊則	shuai you jiu ze
率由舊章	lü you jiu zhang
率皆	shuai jie
率直	shuai zhi
率真	shuai zhen
率達	shuai da
率隊	shuai dui
率領	shuai ling
率馬以驥	shuai ma yi ji
率高	lve gao
生產效率	sheng chan xiao lv
生產率	sheng chan lv
疏率	shu lve
發生率	fa sheng lve
發病率	fa bing lve
百分率	bai fen lv
百獸率舞	bo shou shuai wu
百獸率舞	mo shou shuai wu
直率	zhi shuai
相率	xiang shuai
真率	zhen shuai
督率	du shuai
碼率	ma lve
稅率	shui lve
空屋率	kong wu lve
粗率	cu lüe
粗率	cu shuai
累進稅率	lei jin shui lve
統率	tong shuai
經濟成長率	jing ji cheng chang lve
股票投資獲利率	gu piao tou zi huo li lv
自然利率	zi ran li lv
自然增加率	zi ran zeng jia lve
自然率	zi ran lve
自由稅率	zi you shui lve
草率	cao shuai
草率將事	cao shuai jiang shi
草率收兵	cao shuai shou bing
行政效率	xing zheng xiao lv
行車速率	xing che su lv
表率	biao shuai
覆蓋率	fu gai lve
親率	qin shuai
變動匯率	bian dong hui lve
貢獻率	gong xian lve
貸款利率	dai kuan li lv
費率	fei lve
貼現率	tie xian lve
賠率	pei lve
躬先表率	gong xian biao shuai
輕率	qing shuai
輸出功率	shu chu gong lv
通過率	tong guo lve
速動比率	su dong bi lv
速率	su lv
重貼現率	chong tie xian lve
錄取率	lu qu lve
關稅率	guan shui lve
離婚率	li hun lve
離心率	li xin lv
零稅率	ling shui lve
電功率	dian gong lv
頻率	pin lve
飛機派遣可靠率	fei ji pai qian ke kao lv
驅蟲效率	qu chong xiao lv
高分辨率	gao fen bian lv
高效率	gao xiao lv
鳩率	qiu shuai
鳩率	zhi shuai
點擊率	dian ji lve
